year,policy_scenario,objective,target_region,global_recovered_lithium_t,target_recovered_lithium_t,target_share_pct,processed_scrap_t,route_modeled_cost,transport_cost,recycling_cost,carbon_cost,policy_cost
2050,reference_policy,economic_choice_baseline,Global,1684102.4335815096,0.0,0.0,116468553.8076376,162841428.4423679,12403382.625463601,135571969.17670375,1050488.970161337,13815587.670039216
2050,reference_policy,global_li_max_benchmark,Global,1719555.5020996877,0.0,0.0,116468553.8076376,210102523.37312454,12403892.310161196,182832554.42276278,1050488.970161337,13815587.670039222
2050,reference_policy,domestic_li_allocation_objective,China,1719555.5020996872,1481905.5940983365,86.17957328442351,116468553.80763762,210104538.72488537,12407117.383010097,182831344.7016747,1050488.970161337,13815587.670039222
2050,reference_policy,domestic_li_allocation_objective,United States,1719555.5020996872,153066.19790286312,8.901497957812905,116468553.8076376,210102523.37312382,12403892.310161196,182832554.42276207,1050488.970161337,13815587.670039222
2050,reference_policy,domestic_li_allocation_objective,European Union,1719555.5020996877,784871.4787222748,45.64385841363633,116468553.80763762,248129497.2332363,11309045.043181136,223702304.71215087,2054668.2157340834,11063479.262170237
2050,current_policy,economic_choice_baseline,Global,1684102.4335815096,0.0,0.0,116468553.8076376,178824526.0419748,12403382.625463601,135571969.17670375,1050488.970161337,29798685.269646127
2050,current_policy,global_li_max_benchmark,Global,1719555.5020996877,0.0,0.0,116468553.8076376,226085620.9727314,12403892.310161196,182832554.42276278,1050488.970161337,29798685.269646123
2050,current_policy,domestic_li_allocation_objective,China,1719555.5020996872,1481905.5940983365,86.17957328442351,116468553.80763762,226087636.32449228,12407117.383010097,182831344.7016747,1050488.970161337,29798685.269646123
2050,current_policy,domestic_li_allocation_objective,United States,1719555.5020996872,153066.19790286312,8.901497957812905,116468553.8076376,226085620.97273076,12403892.310161196,182832554.42276207,1050488.970161337,29798685.269646123
2050,current_policy,domestic_li_allocation_objective,European Union,1719555.5020996877,784871.4787222748,45.64385841363633,116468553.80763763,259087002.76612127,11308993.536351275,223702364.31862217,2054667.8348206624,22020977.076327145
2050,strict_policy,economic_choice_baseline,Global,1684102.4335815096,0.0,0.0,116468553.8076376,187785740.7335122,13828013.125961881,162809460.23311746,362006.0595428356,10786261.314889982
2050,strict_policy,global_li_max_benchmark,Global,1719555.5020996877,0.0,0.0,116468553.8076376,239789815.22422886,13829577.557680707,214811695.04646736,362281.3051907879,10786261.314889979
2050,strict_policy,domestic_li_allocation_objective,China,1719555.5020996872,345411.7125538665,20.087267443946804,116468553.8076376,239789815.224228,13829577.557680707,214811695.0464665,362281.3051907879,10786261.314889979
2050,strict_policy,domestic_li_allocation_objective,United States,1719555.5020996872,153066.19790286312,8.901497957812905,116468553.8076376,239789815.224228,13829577.557680707,214811695.0464665,362281.3051907879,10786261.314889979
2050,strict_policy,domestic_li_allocation_objective,European Union,1719555.5020996872,784871.4787222748,45.643858413636345,116468553.80763762,264871147.59671104,12350600.486182839,240086449.36344808,1647836.4321901423,10786261.314889979
2050,critical_route_policy,economic_choice_baseline,Global,1684102.4335815096,0.0,0.0,116468553.8076376,181335200.27050245,13711563.022296675,159178380.56303138,455354.655034804,7989902.030139598
2050,critical_route_policy,global_li_max_benchmark,Global,1719555.5020996872,0.0,0.0,116468553.8076376,232351473.43811667,13714962.042355867,210191254.71058634,455354.655034804,7989902.030139605
2050,critical_route_policy,domestic_li_allocation_objective,China,1719555.5020996877,458586.57116495597,26.668901969432934,116468553.8076376,232351473.43811736,13714962.042355865,210191254.71058705,455354.655034804,7989902.030139605
2050,critical_route_policy,domestic_li_allocation_objective,United States,1719555.5020996875,153066.19790286315,8.901497957812907,116468553.8076376,232351473.43811652,13714962.042355865,210191254.71058622,455354.655034804,7989902.030139605
2050,critical_route_policy,domestic_li_allocation_objective,European Union,1719555.5020996877,784871.4787222743,45.64385841363631,116468553.80763762,258955137.95191705,12415197.469395598,237046874.83150232,1718401.6986192404,7774663.952399939
