year,gross_manufacturing_scrap_t,weighted_li_content,manufacturing_scrap_lithium_t,eol_scrap_t,eol_scrap_lithium_t
2010,80.14903285009078,0.030416666666666665,2.4378664158569276,0.0,0.0
2011,233.68183597460603,0.019589162577083805,4.577631476217989,0.603331615177349,0.011818761097603653
2012,1335.6154377362604,0.019607738092271166,26.188397695126703,6.641712917891508,0.1302289673780708
2013,2672.591037850145,0.01895915736399527,50.670074056204335,40.12493869985528,0.76073502703122
2014,5123.784674565096,0.017944674909731995,91.94465029253759,188.62659927437605,3.384843003306967
2015,8141.580209447335,0.017134285486302827,139.5001596183038,685.6948130680098,11.748890683584332
2016,9841.403522438479,0.016631618518634213,163.67846907313978,2016.6207122456492,33.53966638284606
2017,15270.81758473978,0.016361561409293908,249.8544196828452,5009.851146516987,81.96898718515916
2018,30393.304448796138,0.016285711540178344,494.97658900591307,10864.236441475176,176.93182079015838
2019,38636.63074828236,0.016347145211825433,631.5986133378512,21387.368257569007,349.62241460526644
2020,48090.48394073572,0.016492580177321695,793.1361621587853,39109.77978581,645.0211788348668
2021,102959.37097142456,0.01661441976125227,1710.6102076737398,67697.25418217423,1124.7505976668335
2022,391585.6507891303,0.016683243960264417,6532.918943453969,113272.96964626826,1889.7605867123195
2023,292777.96100709157,0.01665926825840414,4877.4665925657255,187349.9301013772,3121.1127437521072
2024,582443.47821048,0.016582768233369596,9658.525208202043,311694.4657376533,5168.757084951465
2025,816844.148072686,0.016496889210144965,13475.38741271035,537070.7766151278,8859.997099826278
2026,1153760.3740003922,0.01645860707040937,18989.288649081012,927699.930126735,15268.64862920216
2027,1560832.6145508597,0.01648134048922093,25724.61376709365,1543633.5989548473,25441.15093497635
2028,1874005.2422023788,0.016543308495130672,31002.246843246026,2439036.5227078665,40349.733626047026
2029,2206135.9117385293,0.016615547861574025,36656.15683062878,3718319.178653302,61781.91027752256
2030,2749375.9399315636,0.01660759718892057,45660.52813129328,5517476.868839045,91632.03333686558
2031,3221915.0724956193,0.016652011842018095,53651.367941173645,7807531.508247804,130011.10713227183
2032,3576650.1794850933,0.016766121202980426,59966.55040990877,10379570.614382884,174025.13895563743
2033,3866956.5668604346,0.01688230447354529,65283.13814771325,13379789.395405099,225881.67836514136
2034,4205844.464986707,0.016949383263665407,71286.46978442548,17010456.99073033,288316.7550259849
2035,4585221.426007765,0.01697547697693644,77836.3207513505,21112207.652355637,358389.7949348645
2036,4994334.63481422,0.01695688111412064,84688.33864667984,25551038.37437592,433265.9200566268
2037,5578524.354743767,0.016878583978799003,94157.59179931818,30327112.178338252,511878.7097365401
2038,6193415.166330664,0.016739302687725277,103673.45113995738,35434845.98717986,593154.612672331
2039,6766056.060503845,0.016547802002092205,111963.35602427363,40922802.95566576,677182.4406809907
2040,7058710.24868992,0.01631946672825626,115194.38704789661,46967837.56175612,766490.0623872235
2041,7141015.242076496,0.016076724875493335,114804.13737856825,53877254.07472566,866169.7908064167
2042,7037651.79666195,0.015846093087637677,111519.2854882858,61924581.47778144,981262.6825099286
2043,6910657.047637791,0.015647887228612937,108137.18215705537,71202494.52021728,1114168.6046482907
2044,6872808.841594668,0.0154916943590676,106471.45396228204,81438835.07120557,1261625.541881632
2045,6932580.707779872,0.015376150322401794,106596.40308500594,91978997.00531483,1414282.8844574653
2046,7033871.039765421,0.015295829108663036,107588.88939662586,101863691.45453312,1558089.6168661178
2047,7162170.1924899295,0.015244895324937195,109186.53488389426,110116524.95672311,1678714.896511078
2048,7206264.412113277,0.015216923935273737,109657.17741659786,116152428.84316096,1767482.6746036755
2049,7256471.707709793,0.01520461080023063,110331.82809861233,119973043.73562439,1824143.4365192163
2050,7273748.323734922,0.015200536526428459,110564.87707898045,122133967.95415866,1856501.8410048317
