,HUN,IND,JPN,KOR,NOR,RUS,YUG,SWE,CHE,THA,Virtual_Demand
ABW,0.0,0.0,4.055559129811828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,462.1421471472463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,20799.975305714917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.067065303450564,0.0,0.0
ARE,0.0,531.8404156294876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7566.516966666296
ARM,0.0,7.059691603511738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,15783.496112678933,0.0,15588.2970134765,0.0,0.0,0.0,0.0,0.0
AZE,0.0,3509.9466764761073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.0,868.4984966676896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,0.0,12.788151862121678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,0.0,3854.3660280837794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,0.0,0.0,0.0,4.065002622244193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,0.0,0.0,0.0,71025.54020869467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,0.0,5.344120708085905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,0.0,0.0,0.0,0.0,0.0,0.0,622.1367999002973,0.0,0.0,0.0,0.0
BLR,0.0,0.0,0.0,10380.769356396277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMU,0.0,0.0,0.0,4.151496967527097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,0.0,0.0,5948.444500674967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,0.0,0.0,0.0,46.68525276151676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.0,859.2653485842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,0.0,0.0,8631.21689615755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV,0.0,670.1238902511053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,0.0,2.748341265684986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG,0.0,6.5631335799101125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,0.0,0.0,8903.55724150201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COM,0.0,18.495687679905114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,0.0,0.0,0.0,0.0,29.715569062856257,0.0,0.0,0.0,0.0,0.0,0.0
CRI,0.0,0.0,2853.7371293894676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,0.0,5799.1103773238365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,0.0,0.0,0.0,20676.949245763346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,0.0,0.0,7550.333214262286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,1504.5813116083525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,0.0,0.0,4319.259661466494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,0.0,38626.66562098344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,0.0,0.0,0.0,5698.777236003226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,0.0,1993.1205500711274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJI,0.0,0.0,10.567829055368286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO,0.0,208.5112359321388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,0.0,40.240356757905424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIN,0.0,8.004610605538094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,0.0,32493.82395263773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRD,0.0,0.0,0.0,301.6868607872906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRL,0.0,0.0,0.0,1.566094073201173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,0.0,0.0,11540.359990602343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUY,0.0,0.0,0.0,5499.522794125865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,0.0,0.0,1134.7624227626957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,50700.99446803173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,0.0,0.0,0.0,86786.06681934856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRL,0.0,0.0,0.0,0.0,23408.73746704475,0.0,0.0,0.0,0.0,0.0,0.0
IRN,0.0,117.33472040220953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,0.0,0.0,0.0,1258.1183024480124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,0.0,33826.994929213084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,0.0,0.0,10.946769311906248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,0.0,5631.16101367063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAZ,0.0,0.0,0.0,5430.213646641773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEN,0.0,82791.78298935371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KGZ,0.0,0.0,0.0,4.643548855342078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHM,0.0,0.0,0.0,4921.189383202072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIR,0.0,0.0,6.24836398472549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KWT,0.0,26.4998241766087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAO,0.0,0.0,0.0,65475.31643995613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBN,0.0,59453.58606560289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCA,0.0,0.0,0.0,59.674418224753964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,0.0,282645.72001948184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153139.6016762385,0.0
LSO,0.0,934.3026907017394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,0.0,0.0,0.0,11259.644747265895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,0.0,0.0,0.0,3042.5380001049834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,0.0,0.0,0.0,7375.687750025921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8290.024028254622,0.0,0.0
MDA,0.0,0.0,0.0,1478.9465207897829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDG,0.0,2140.9471489195867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDV,0.0,385.6729491336739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,0.0,0.0,265145.15680721693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,0.0,0.0,0.0,579.6793376434746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI,0.0,486.25898009995774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,0.0,2407.0097447104054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNG,0.0,0.0,0.0,1241.5308187707838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZ,0.0,314.15561461425796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUS,0.0,2442.565785396967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,0.0,6881.14755042612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.30712933998613,0.0
NAM,0.0,2973.0342461797673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER,0.0,2171.3465638324255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA,0.0,321050.2315101878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC,0.0,0.0,3971.857333734973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,0.0,0.0,0.0,993.4930383748591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,0.0,0.0,18520.730751246567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMN,0.0,2361.4368926626044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,0.0,295967.8686726767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAL,0.0,98.54969004956922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAN,0.0,0.0,21.915062806385038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,0.0,0.0,14763.246720165918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,0.0,0.0,0.0,1131125.5640956943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLW,0.0,0.0,0.0,5.740883673596893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,0.0,0.0,0.0,0.0,35509.329533029995,0.0,0.0,0.0,0.0,0.0,0.0
PRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.0148040413385
PYF,0.0,0.0,1371.1230402596445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QAT,0.0,22.182653285069158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWA,0.0,11.290577018086854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU,0.0,34867.71050580966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDN,0.0,12.487380451242153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN,0.0,41543.44406031662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,0.0,0.0,5.930572208931332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLV,0.0,0.0,22.227929391152394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,0.0,0.0,0.0,0.0,0.0,9429.746565603578,0.0,0.0,0.0,0.0,0.0
SYC,0.0,501.94093522904376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGO,0.0,1320.9553732859586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJK,0.0,414.764886777431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTO,0.0,0.0,0.0,3154.6935218089684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN,0.0,0.0,0.0,566.0710596457897,0.0,0.0,30.919847795778427,0.0,0.0,0.0,0.0
TZA,0.0,12747.078307492968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,0.0,138318.0731948298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,0.0,0.0,0.0,232.66791221655492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.6770720670545
UZB,0.0,0.0,0.0,7908.102711339816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSM,0.0,0.0,8.558682691872027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YEM,0.0,3852.9138169457633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,0.0,883.6066720969868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMB,0.0,274.3433452755326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZWE,0.0,33.42559217814008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMR,0.0,0.0,0.0,25408.509409826263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWZ,0.0,52.57364357441332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188706.8290053466
USA,0.0,0.0,0.0,1232072.852591302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,69138.25420541214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32080.134361644334,0.0,0.0,0.0
BRA,0.0,131423.19301331104,0.0,230734.90064407937,84854.80121842543,0.0,0.0,0.0,0.0,0.0,906776.7832966174
CAN,0.0,0.0,0.0,314716.4468267772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.0,0.0,0.0,197214.0239224983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,0.0,0.0,0.0,15924.298798444854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,0.0,0.0,0.0,16207.476705982972,0.0,0.0,0.0,120449.71620044601,0.0,0.0,0.0
DEU,0.0,0.0,0.0,82072.10839035972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,82367.28141928425,0.0,0.0,19586.523999012057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28434.00614238269,0.0,0.0,0.0
POL,0.0,0.0,0.0,76576.77257466348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROM,0.0,0.0,0.0,214632.5814988169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,0.0,0.0,0.0,0.0,0.0,22011.81937334725,0.0,0.0,0.0,0.0,0.0
ESP,0.0,0.0,0.0,2414.357177266776,0.0,0.0,0.0,0.0,52486.7005265193,0.0,0.0
TUR,0.0,57204.73364729227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.0,0.0,574278.5166080365,1091180.937991165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBR,0.0,0.0,0.0,0.0,46916.536375701646,0.0,0.0,0.0,0.0,0.0,0.0
VNM,0.0,0.0,0.0,78304.086992574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
